0.05078125, 0.6, 0.4893617, 0.5, 1
0.1552734, 0.8823529, 0.3191489, 0.6289308, 1
0.06054688, 0.875, 0.5319149, 0.5645161, 1
0.03417969, 0.8333333, 0.2659574, 0.4, 1
0.07714844, 0.7, 0.5531915, 0.6202532, 1
0.03808594, 0.8333333, 0.3829787, 0.4871795, 1
0.06347656, 0.6666667, 0.6276596, 0.5692308, 1
0.09765625, 0.6, 0.4255319, 0.56, 2
0.0546875, 0.875, 0.3829787, 0.5714286, 2
0.06152344, 0.875, 0.2553191, 0.3015873, 2
0.07714844, 0.9411765, 0.4680851, 0.5949367, 2
0.09375, 0.5333333, 0.4361702, 0.5833333, 2
0.04199219, 0.5555556, 0.2659574, 0.4883721, 2
0.02148438, 0.6, 0.3085106, 0.3181818, 2
